Timestamp,Auger.O_xOn,Aspirator.O_xOn,WeightSensor.I_uiValue,FunnelBlocked.I_xSignal
1515157696180,0,0,18691,0
1515157696281,0,0,18692,0
1515157696381,0,0,18694,0
1515157696481,0,0,18692,0
1515157696581,0,0,18692,0
1515157696681,0,0,18692,0
1515157696781,0,0,18694,0
1515157696881,0,0,18692,0
1515157696982,0,0,18692,0
1515157697082,0,0,18692,0
1515157697182,0,0,18691,0
1515157697282,0,0,18691,0
1515157697382,0,0,18691,0
1515157697482,0,0,18692,0
1515157697583,0,0,18694,0
1515157697683,0,0,18692,0
1515157697783,0,0,18692,0
1515157697883,0,0,18691,0
1515157697983,0,0,18694,0
1515157698083,0,0,18692,0
1515157698183,0,0,18692,0
1515157698283,0,0,18690,0
1515157698384,0,0,18690,0
1515157698484,0,0,18692,0
1515157698584,0,0,18691,0
1515157698684,0,0,18692,0
1515157698784,0,0,18691,0
1515157698884,0,0,18692,0
1515157698984,0,0,18694,0
1515157699085,0,0,18692,0
1515157699185,0,0,18691,0
1515157699285,0,0,18691,0
1515157699385,0,0,18691,0
1515157699485,0,0,18692,0
1515157699585,0,0,18692,0
1515157699685,0,0,18692,0
1515157699786,0,0,18692,0
1515157699886,0,0,18691,0
1515157699986,0,0,18691,0
1515157700086,0,0,18692,0
1515157700186,0,0,18690,0
1515157700286,0,0,18692,0
1515157700386,0,0,18691,0
1515157700487,0,0,18692,0
1515157700587,0,0,18692,0
1515157700687,0,0,18692,0
1515157700787,0,0,18691,0
1515157700887,0,0,18692,0
1515157700987,0,0,18691,0
1515157701087,0,0,18691,0
1515157701187,0,0,18691,0
1515157701288,0,0,18692,0
1515157701388,0,0,18692,0
1515157701488,0,0,18692,0
1515157701588,0,0,18694,0
1515157701688,0,0,18691,0
1515157701788,0,0,18691,0
1515157701888,0,0,18692,0
1515157701988,0,0,18692,0
1515157702089,0,0,18691,0
1515157702189,0,0,18692,0
1515157702289,0,0,18691,0
1515157702389,0,0,18692,0
1515157702489,0,0,18692,0
1515157702589,0,0,18692,0
1515157702689,0,0,18692,0
1515157702789,0,0,18692,0
1515157702890,0,0,18691,0
1515157702990,0,0,18692,0
1515157703090,0,0,18692,0
1515157703190,0,0,18692,0
1515157703290,0,0,18691,0
1515157703390,0,0,18694,0
1515157703490,0,0,18694,0
1515157703590,0,0,18691,0
1515157703691,0,0,18692,0
1515157703791,0,0,18692,0
1515157703891,0,0,18692,0
1515157703991,0,0,18692,0
1515157704091,0,0,18691,0
1515157704191,0,0,18690,0
1515157704291,0,0,18692,0
1515157704391,0,0,18695,0
1515157704492,0,0,18692,0
1515157704592,0,0,18692,0
1515157704692,0,0,18692,0
1515157704792,0,0,18692,0
1515157704892,0,0,18692,0
1515157704992,0,0,18694,0
1515157705092,0,0,18694,0
1515157705193,0,0,18694,0
1515157705293,0,0,18694,0
1515157705393,0,0,18694,0
1515157705493,0,0,18694,0
1515157705593,0,0,18694,0
1515157705693,0,0,18694,0
1515157705793,0,0,18694,0
1515157705893,0,0,18694,0
1515157705994,0,0,18694,0
1515157706094,0,0,18692,0
1515157706194,0,0,18692,0
1515157706294,0,0,18694,0
1515157706394,0,0,18692,0
1515157706494,0,0,18692,0
1515157706594,0,0,18692,0
1515157706695,0,0,18692,0
1515157706795,0,0,18691,0
1515157706895,0,0,18694,0
1515157706995,0,0,18692,0
1515157707095,0,0,18691,0
1515157707195,0,0,18694,0
1515157707295,0,0,18691,0
1515157707395,0,0,18691,0
1515157707495,0,0,18692,0
1515157707596,0,0,18694,0
1515157707696,0,0,18692,0
1515157707796,0,0,18692,0
1515157707896,0,0,18691,0
1515157707996,0,0,18692,0
1515157708096,0,0,18692,0
1515157708196,0,0,18692,0
1515157708296,0,0,18692,0
1515157708397,0,0,18691,0
1515157708497,0,0,18691,0
1515157708597,0,0,18692,0
1515157708697,0,0,18691,0
1515157708797,0,0,18692,0
1515157708897,0,0,18692,0
1515157708997,0,0,18691,0
1515157709098,0,0,18691,0
1515157709198,0,0,18691,0
1515157709298,0,0,18691,0
1515157709398,0,0,18691,0
1515157709498,0,0,18692,0
1515157709598,0,0,18692,0
1515157709698,0,0,18692,0
1515157709798,0,0,18692,0
1515157709899,0,0,18692,0
1515157709999,0,0,18692,0
1515157710099,0,0,18692,0
1515157710199,0,0,18691,0
1515157710299,0,0,18692,0
1515157710399,0,0,18692,0
1515157710499,0,0,18692,0
1515157710600,0,0,18692,0
1515157710700,0,0,18692,0
1515157710800,0,0,18692,0
1515157710900,0,0,18692,0
1515157711000,0,0,18692,0
1515157711100,0,0,18692,0
1515157711200,0,0,18692,0
1515157711301,0,0,18692,0
1515157711401,0,0,18692,0
1515157711501,0,0,18692,0
1515157711601,0,0,18692,0
1515157711701,0,0,18692,0
1515157711801,0,0,18692,0
1515157711901,0,0,18692,0
1515157712002,0,0,18692,0
1515157712102,0,0,18692,0
1515157712202,0,0,18692,0
1515157712302,0,0,18691,0
1515157712402,0,0,18694,0
1515157712502,0,0,18692,0
1515157712602,0,0,18692,0
1515157712702,0,0,18692,0
1515157712803,0,0,18691,0
1515157712903,0,0,18692,0
1515157713003,0,0,18691,0
1515157713103,0,0,18691,0
1515157713203,0,0,18691,0
1515157713303,0,0,18692,0
1515157713403,0,0,18692,0
1515157713504,0,0,18692,0
1515157713604,0,0,18692,0
1515157713704,0,0,18692,0
1515157713804,0,0,18691,0
1515157713904,0,0,18692,0
1515157714004,0,0,18692,0
1515157714104,0,0,18692,0
1515157714205,0,0,18692,0
1515157714305,0,0,18691,0
1515157714405,0,0,18691,0
1515157714505,0,0,18692,0
1515157714605,0,0,18692,0
1515157714705,0,0,18692,0
1515157714805,0,0,18692,0
1515157714905,0,0,18691,0
1515157715006,0,0,18692,0
1515157715106,0,0,18691,0
1515157715206,0,0,18691,0
1515157715306,0,0,18694,0
1515157715406,0,0,18694,0
1515157715506,0,0,18691,0
1515157715606,0,0,18692,0
1515157715707,0,0,18692,0
1515157715807,0,0,18691,0
1515157715907,0,0,18692,0
1515157716007,0,0,18692,0
1515157716107,0,0,18694,0
1515157716207,0,0,18692,0
1515157716307,0,0,18694,0
1515157716407,0,0,18692,0
1515157716508,0,0,18694,0
1515157716608,0,0,18694,0
1515157716708,0,0,18692,0
1515157716808,0,0,18692,0
1515157716908,0,0,18692,0
1515157717008,0,0,18691,0
1515157717108,0,0,18694,0
1515157717208,0,0,18692,0
1515157717309,0,0,18692,0
1515157717409,0,0,18692,0
1515157717509,0,0,18691,0
1515157717609,0,0,18692,0
1515157717709,0,0,18694,0
1515157717809,0,0,18692,0
1515157717909,0,0,18692,0
1515157718009,0,0,18691,0
1515157718110,0,0,18691,0
1515157718210,0,0,18692,0
1515157718310,0,0,18691,0
1515157718410,0,0,18692,0
1515157718510,0,0,18692,0
1515157718610,0,0,18692,0
1515157718710,0,0,18691,0
1515157718811,0,0,18692,0
1515157718911,0,0,18694,0
1515157719011,0,0,18692,0
1515157719111,0,0,18692,0
1515157719211,0,0,18691,0
1515157719311,0,0,18690,0
1515157719411,0,0,18692,0
1515157719511,0,0,18692,0
1515157719612,0,0,18690,0
1515157719712,0,0,18691,0
1515157719812,0,0,18692,0
1515157719912,0,0,18692,0
1515157720012,0,0,18694,0
1515157720112,0,0,18692,0
1515157720212,0,0,18692,0
1515157720312,0,0,18692,0
1515157720413,0,0,18692,0
1515157720513,0,0,18694,0
1515157720613,0,0,18692,0
1515157720713,0,0,18692,0
1515157720813,0,0,18691,0
1515157720913,0,0,18692,0
1515157721013,0,0,18691,0
1515157721114,0,0,18691,0
1515157721214,0,0,18692,0
1515157721314,0,0,18692,0
1515157721414,0,0,18692,0
1515157721514,0,0,18692,0
1515157721614,0,0,18692,0
1515157721714,0,0,18692,0
1515157721814,0,0,18692,0
1515157721915,0,0,18692,0
1515157722015,0,0,18692,0
1515157722115,0,0,18691,0
1515157722215,0,0,18691,0
1515157722315,0,0,18692,0
1515157722415,0,0,18692,0
1515157722515,0,0,18692,0
1515157722615,0,0,18692,0
1515157722716,0,0,18692,0
1515157722816,0,0,18692,0
1515157722916,0,0,18694,0
1515157723016,0,0,18692,0
1515157723116,0,0,18694,0
1515157723216,0,0,18690,0
1515157723316,0,0,18691,0
1515157723416,0,0,18691,0
1515157723517,0,0,18695,0
1515157723617,0,0,18692,0
1515157723717,0,0,18694,0
1515157723817,0,0,18692,0
1515157723917,0,0,18691,0
1515157724017,0,0,18692,0
1515157724117,0,0,18692,0
1515157724217,0,0,18691,0
1515157724318,0,0,18691,0
1515157724418,0,0,18694,0
1515157724518,0,0,18692,0
1515157724618,0,0,18692,0
1515157724719,0,0,18692,0
1515157724819,0,0,18692,0
1515157724919,0,0,18692,0
1515157725020,0,0,18692,0
1515157725120,0,0,18692,0
1515157725220,0,0,18692,0
1515157725320,0,0,18692,0
1515157725420,0,0,18692,0
1515157725520,0,0,18694,0
1515157725620,0,0,18692,0
1515157725720,0,0,18692,0
1515157725821,0,0,18692,0
1515157725922,0,0,18692,0
1515157726022,0,0,18692,0
1515157726122,0,0,18692,0
1515157726222,0,0,18691,0
1515157726322,0,0,18694,0
1515157726422,0,0,18692,0
1515157726522,0,0,18692,0
1515157726623,0,0,18691,0
1515157726723,0,0,18694,0
1515157726823,0,0,18691,0
1515157726923,0,0,18692,0
1515157727023,0,0,18692,0
1515157727123,0,0,18692,0
1515157727223,0,0,18691,0
1515157727323,0,0,18695,0
1515157727424,0,0,18694,0
1515157727524,0,0,18692,0
1515157727624,0,0,18691,0
1515157727724,0,0,18694,0
1515157727824,0,0,18694,0
1515157727924,0,0,18692,0
1515157728024,0,0,18694,0
1515157728125,0,0,18694,0
1515157728225,0,0,18694,0
1515157728325,0,0,18694,0
1515157728425,0,0,18692,0
1515157728525,0,0,18691,0
1515157728625,0,0,18692,0
1515157728725,0,0,18692,0
1515157728825,0,0,18692,0
1515157728926,0,0,18691,0
1515157729026,0,0,18694,0
1515157729126,0,0,18692,0
1515157729226,0,0,18694,0
1515157729326,0,0,18694,0
1515157729426,0,0,18692,0
1515157729526,0,0,18692,0
1515157729627,0,0,18690,0
1515157729727,0,0,18692,0
1515157729827,0,0,18692,0
1515157729927,0,0,18691,0
1515157730027,0,0,18691,0
1515157730127,0,0,18691,0
1515157730227,0,0,18694,0
1515157730327,0,0,18691,0
1515157730428,0,0,18694,0
1515157730528,0,0,18692,0
1515157730628,0,0,18694,0
1515157730728,0,0,18692,0
1515157730828,0,0,18692,0
1515157730928,0,0,18694,0
1515157731028,0,0,18692,0
1515157731128,0,0,18691,0
1515157731229,0,0,18692,0
1515157731329,0,0,18694,0
1515157731429,0,0,18692,0
1515157731529,0,0,18691,0
1515157731629,0,0,18692,0
1515157731729,0,0,18692,0
1515157731829,0,0,18691,0
1515157731929,0,0,18691,0
1515157732030,0,0,18692,0
1515157732130,0,0,18694,0
1515157732230,0,0,18692,0
1515157732330,0,0,18692,0
1515157732430,0,0,18690,0
1515157732530,0,0,18692,0
1515157732630,0,0,18692,0
1515157732731,0,0,18692,0
1515157732831,0,0,18694,0
1515157732931,0,0,18691,0
1515157733031,0,0,18694,0
1515157733131,0,0,18694,0
1515157733231,0,0,18692,0
1515157733331,0,0,18692,0
1515157733431,0,0,18692,0
1515157733532,0,0,18692,0
1515157733632,0,0,18692,0
1515157733732,0,0,18695,0
1515157733832,0,0,18692,0
1515157733932,0,0,18691,0
1515157734032,0,0,18692,0
1515157734132,0,0,18691,0
1515157734232,0,0,18694,0
1515157734333,0,0,18691,0
1515157734433,0,0,18694,0
1515157734533,0,0,18691,0
1515157734633,0,0,18692,0
1515157734733,0,0,18694,0
1515157734833,0,0,18692,0
1515157734933,0,0,18692,0
1515157735033,0,0,18694,0
1515157735134,0,0,18691,0
1515157735234,0,0,18692,0
1515157735334,0,0,18692,0
1515157735434,0,0,18694,0
1515157735534,0,0,18692,0
1515157735634,0,0,18692,0
1515157735734,0,0,18691,0
1515157735834,0,0,18691,0
1515157735935,0,0,18691,0
1515157736035,0,0,18692,0
1515157736135,0,0,18694,0
1515157736235,0,0,18692,0
1515157736335,0,0,18692,0
1515157736435,0,0,18694,0
1515157736535,0,0,18692,0
1515157736636,0,0,18694,0
1515157736736,0,0,18692,0
1515157736836,0,0,18691,0
1515157736936,0,0,18692,0
1515157737036,0,0,18692,0
1515157737136,0,0,18692,0
1515157737236,0,0,18692,0
1515157737336,0,0,18692,0
1515157737437,0,0,18692,0
1515157737537,0,0,18692,0
1515157737637,0,0,18692,0
1515157737737,0,0,18694,0
1515157737837,0,0,18694,0
1515157737937,0,0,18694,0
1515157738037,0,1,18692,0
1515157738137,0,1,18692,0
1515157738238,0,1,18692,0
1515157738338,0,1,18694,0
1515157738438,0,1,18692,0
1515157738538,0,1,18692,0
1515157738638,0,1,18694,0
1515157738738,0,1,18692,0
1515157738838,0,1,18692,0
1515157738938,0,1,18694,0
1515157739039,0,1,18694,0
1515157739139,0,1,18694,0
1515157739239,0,1,18694,0
1515157739339,0,1,18692,0
1515157739439,0,1,18692,0
1515157739539,0,1,18692,0
1515157739639,0,1,18692,0
1515157739739,0,1,18692,0
1515157739840,0,1,18694,0
1515157739940,0,1,18692,0
1515157740040,0,1,18694,0
1515157740140,0,1,18692,0
1515157740240,0,1,18692,0
1515157740340,0,1,18694,0
1515157740440,0,1,18695,0
1515157740541,0,1,18691,0
1515157740641,0,1,18692,0
1515157740741,0,1,18694,0
1515157740841,0,1,18694,0
1515157740941,0,1,18694,0
1515157741041,1,1,18691,0
1515157741141,1,1,18691,0
1515157741241,1,1,18691,0
1515157741342,1,1,18692,0
1515157741442,1,1,18692,0
1515157741542,1,1,18692,0
1515157741642,1,1,18692,0
1515157741742,1,1,18692,0
1515157741842,1,1,18692,0
1515157741942,1,1,18692,0
1515157742043,1,1,18691,0
1515157742143,1,1,18694,0
1515157742243,1,1,18691,0
1515157742343,1,1,18691,0
1515157742443,1,1,18694,0
1515157742543,1,1,18694,0
1515157742643,1,1,18694,0
1515157742744,1,1,18692,0
1515157742844,1,1,18691,0
1515157742944,1,1,18692,0
1515157743044,1,1,18679,0
1515157743144,1,1,18679,0
