Timestamp,I_CapGrabberDown,I_CapGrabberUp,I_CapOnConveyor,I_LinAxisDown,I_LinAxisUp
1529500026520,0,1,0,1,0
1529500026620,0,1,0,1,0
1529500026720,0,1,0,1,0
1529500026820,0,1,0,1,0
1529500026921,0,1,0,1,0
1529500027021,0,1,0,1,0
1529500027121,0,1,0,1,0
1529500027221,0,1,0,1,0
1529500027321,0,1,0,1,0
1529500027421,0,1,0,1,0
1529500027521,0,1,0,1,0
1529500027622,0,1,0,1,0
1529500027722,0,1,0,1,0
1529500027822,0,1,0,1,0
1529500027922,0,1,0,1,0
1529500028022,0,1,0,1,0
1529500028122,0,1,0,1,0
1529500028222,0,1,0,1,0
1529500028323,0,1,0,1,0
1529500028423,0,1,0,1,0
1529500028523,0,1,0,1,0
1529500028623,0,1,0,1,0
1529500028723,0,1,0,1,0
1529500028823,0,1,0,1,0
1529500028923,0,1,0,1,0
1529500029024,0,1,0,1,0
1529500029124,0,1,0,1,0
1529500029224,0,1,0,1,0
1529500029324,0,1,0,1,0
1529500029424,0,1,0,1,0
1529500029524,0,1,0,1,0
1529500029625,0,1,0,1,0
1529500029725,0,1,0,1,0
1529500029825,0,1,0,1,0
1529500029925,0,1,0,1,0
1529500030025,0,1,0,1,0
1529500030125,0,1,0,1,0
1529500030226,0,1,0,1,0
1529500030326,0,1,0,1,0
1529500030426,0,1,0,1,0
1529500030526,0,1,0,1,0
1529500030626,0,1,0,1,0
1529500030726,0,1,0,1,0
1529500030826,0,1,0,1,0
1529500030927,0,1,0,1,0
1529500031027,0,1,0,1,0
1529500031127,0,1,0,1,0
1529500031227,0,1,0,1,0
1529500031327,0,1,0,1,0
1529500031427,0,1,0,1,0
1529500031528,0,1,0,1,0
1529500031628,0,1,0,1,0
1529500031728,0,1,0,1,0
1529500031828,0,1,0,1,0
1529500031928,0,1,0,1,0
1529500032028,0,1,0,1,0
1529500032129,0,1,0,1,0
1529500032229,0,1,0,1,0
1529500032329,0,1,0,1,0
1529500032429,0,1,0,1,0
1529500032529,0,1,0,1,0
1529500032629,0,1,0,1,0
1529500032730,0,1,0,1,0
1529500032830,0,1,0,1,0
1529500032930,0,1,0,1,0
1529500033030,0,1,0,1,0
1529500033130,0,1,0,1,0
1529500033230,0,1,0,1,0
1529500033331,0,1,0,1,0
1529500033431,0,1,0,1,0
1529500033531,0,1,0,1,0
1529500033631,0,1,0,1,0
1529500033731,0,1,0,1,0
1529500033831,0,1,0,1,0
1529500033932,0,1,0,1,0
1529500034032,0,1,0,1,0
1529500034132,0,1,0,1,0
1529500034232,0,1,0,1,0
1529500034332,0,1,0,1,0
1529500034432,0,1,0,1,0
1529500034533,0,1,0,1,0
1529500034633,0,1,0,1,0
1529500034733,0,1,0,1,0
1529500034833,0,1,0,1,0
1529500034933,0,1,0,1,0
1529500035033,0,1,0,1,0
1529500035134,0,1,0,1,0
1529500035234,0,1,0,1,0
1529500035334,0,1,0,1,0
1529500035434,0,1,0,1,0
1529500035534,0,1,0,1,0
1529500035635,0,1,0,1,0
1529500035735,0,1,0,1,0
1529500035835,0,1,0,1,0
1529500035935,0,1,0,1,0
1529500036035,0,1,0,1,0
1529500036135,0,1,0,1,0
1529500036236,0,1,0,1,0
1529500036336,0,1,0,1,0
1529500036436,0,1,0,1,0
1529500036536,0,1,0,1,0
1529500036636,0,1,0,1,0
1529500036736,0,1,0,1,0
1529500036837,0,1,0,1,0
1529500036937,0,1,0,1,0
1529500037037,0,1,0,1,0
1529500037137,0,1,0,1,0
1529500037237,0,1,0,1,0
1529500037337,0,1,0,1,0
1529500037438,0,1,0,1,0
1529500037538,0,1,0,1,0
1529500037638,0,1,0,1,0
1529500037738,0,1,0,1,0
1529500037838,0,1,0,1,0
1529500037938,0,1,0,1,0
1529500038039,0,1,0,1,0
1529500038139,0,1,0,1,0
1529500038239,0,1,0,1,0
1529500038339,0,1,0,1,0
1529500038439,0,1,0,1,0
1529500038540,0,1,0,1,0
1529500038640,0,1,0,1,0
1529500038740,0,1,0,1,0
1529500038840,0,1,0,1,0
1529500038940,0,1,0,1,0
1529500039040,0,1,0,1,0
1529500039141,0,1,0,1,0
1529500039241,0,1,0,1,0
1529500039341,0,1,0,1,0
1529500039441,0,1,0,1,0
1529500039541,0,1,0,1,0
1529500039641,0,1,0,1,0
1529500039742,0,1,0,1,0
1529500039842,0,1,0,1,0
1529500039942,0,1,0,1,0
1529500040042,0,1,0,1,0
1529500040142,0,1,0,1,0
1529500040242,0,1,0,1,0
1529500040343,0,1,0,1,0
1529500040443,0,1,0,1,0
1529500040543,0,1,0,1,0
1529500040643,0,1,0,1,0
