Timestamp,O_PortionerForward,O_PortionerReverse,O_PortionerSlow,Portions
1529500026492,0,0,0,4
1529500026593,0,0,0,4
1529500026693,0,0,0,4
1529500026793,0,0,0,4
1529500026893,0,0,0,4
1529500026993,0,0,0,4
1529500027093,0,0,0,4
1529500027193,0,0,0,4
1529500027294,0,0,0,4
1529500027394,0,0,0,4
1529500027494,0,0,0,4
1529500027594,0,0,0,4
1529500027694,0,0,0,4
1529500027794,0,0,0,4
1529500027894,0,0,0,4
1529500027995,0,0,0,4
1529500028095,0,0,0,4
1529500028196,0,0,0,4
1529500028296,0,0,0,4
1529500028396,0,0,0,4
1529500028496,0,0,0,4
1529500028596,0,0,0,4
1529500028697,0,0,0,4
1529500028797,0,0,0,4
1529500028897,0,0,0,4
1529500028997,0,0,0,4
1529500029097,0,0,0,4
1529500029197,0,0,0,4
1529500029298,0,0,0,4
1529500029398,0,0,0,4
1529500029498,0,0,0,4
1529500029598,0,0,0,4
1529500029698,0,0,0,4
1529500029798,0,0,0,4
1529500029899,0,0,0,4
1529500029999,0,0,0,4
1529500030099,0,0,0,4
1529500030199,0,0,0,4
1529500030299,0,0,0,4
1529500030399,0,0,0,4
1529500030500,0,0,0,4
1529500030600,0,0,0,4
1529500030700,0,0,0,4
1529500030800,0,0,0,4
1529500030900,0,0,0,4
1529500031000,0,0,0,4
1529500031100,0,0,0,4
1529500031201,0,0,0,4
1529500031301,0,0,0,4
1529500031401,0,0,0,4
1529500031501,0,0,0,4
1529500031601,0,0,0,4
1529500031701,0,0,0,4
1529500031802,0,0,0,4
1529500031902,0,0,0,4
1529500032002,0,0,0,4
1529500032102,0,0,0,4
1529500032202,0,0,0,4
1529500032302,0,0,0,4
1529500032403,0,0,0,4
1529500032503,0,0,0,4
1529500032603,0,0,0,4
1529500032703,0,0,0,4
1529500032803,0,0,0,4
1529500032903,0,0,0,4
1529500033004,0,0,0,4
1529500033104,0,0,0,4
1529500033204,0,0,0,4
1529500033304,0,0,0,4
1529500033404,0,0,0,4
1529500033504,0,0,0,4
1529500033605,0,0,0,4
1529500033705,0,0,0,4
1529500033805,0,0,0,4
1529500033905,0,0,0,4
1529500034005,0,0,0,4
1529500034105,0,0,0,4
1529500034206,0,0,0,4
1529500034306,0,0,0,4
1529500034406,0,0,0,4
1529500034506,0,0,0,4
1529500034606,0,0,0,4
1529500034706,0,0,0,4
1529500034807,0,0,0,4
1529500034907,0,0,0,4
1529500035007,0,0,0,4
1529500035107,0,0,0,4
1529500035207,0,0,0,4
1529500035307,0,0,0,4
1529500035408,0,0,0,4
1529500035508,0,0,0,4
1529500035608,0,0,0,4
1529500035708,0,0,0,4
1529500035808,0,0,0,4
1529500035909,0,0,0,4
1529500036009,0,0,0,4
1529500036109,0,0,0,4
1529500036209,0,0,0,4
1529500036309,0,0,0,4
1529500036409,0,0,0,4
1529500036510,0,0,0,4
1529500036610,0,0,0,4
1529500036710,0,0,0,4
1529500036810,0,0,0,4
1529500036910,0,0,0,4
1529500037010,0,0,0,4
1529500037111,0,0,0,4
1529500037211,0,0,0,4
1529500037311,0,0,0,4
1529500037411,0,0,0,4
1529500037511,0,0,0,4
1529500037611,0,0,0,4
1529500037712,0,0,0,4
