Timestamp,I_Pump_Down,I_Pump_Up,O_PumpUpDown,O_ValvePumpCloseOpen,PumpStrokes
1529500026530,1,0,1,0,3
1529500026630,1,0,1,0,3
1529500026731,1,0,1,0,3
1529500026831,1,0,1,0,3
1529500026931,1,0,1,0,3
1529500027031,1,0,1,0,3
1529500027131,1,0,1,0,3
1529500027231,1,0,1,0,3
1529500027331,1,0,1,0,3
1529500027432,1,0,1,0,3
1529500027532,1,0,1,0,3
1529500027632,1,0,1,0,3
1529500027732,1,0,1,0,3
1529500027832,1,0,1,0,3
1529500027932,1,0,1,0,3
1529500028032,1,0,1,0,3
1529500028133,1,0,1,0,3
1529500028233,1,0,1,0,3
1529500028333,1,0,1,0,3
1529500028433,1,0,1,0,3
1529500028533,1,0,1,0,3
1529500028633,1,0,1,0,3
1529500028733,1,0,1,0,3
1529500028834,1,0,1,0,3
1529500028934,1,0,1,0,3
1529500029034,1,0,1,0,3
1529500029134,1,0,1,0,3
1529500029234,1,0,1,0,3
1529500029334,1,0,1,0,3
1529500029435,1,0,1,0,3
1529500029535,1,0,1,0,3
1529500029635,1,0,1,0,3
1529500029735,1,0,1,0,3
1529500029835,1,0,1,0,3
1529500029935,1,0,1,0,3
1529500030036,1,0,1,0,3
1529500030136,1,0,1,0,3
1529500030236,1,0,1,0,3
1529500030336,1,0,1,0,3
1529500030436,1,0,1,0,3
1529500030536,1,0,1,0,3
1529500030637,1,0,1,0,3
1529500030737,1,0,1,0,3
1529500030837,1,0,1,0,3
1529500030937,1,0,1,0,3
1529500031037,1,0,1,0,3
1529500031137,1,0,1,0,3
1529500031237,1,0,1,0,3
1529500031338,1,0,1,0,3
1529500031438,1,0,1,0,3
1529500031538,1,0,1,0,3
1529500031638,1,0,1,0,3
1529500031738,1,0,1,0,3
1529500031838,1,0,1,0,3
1529500031939,1,0,1,0,3
1529500032039,1,0,1,0,3
1529500032139,1,0,1,0,3
1529500032239,1,0,1,0,3
1529500032339,1,0,1,0,3
1529500032439,1,0,1,0,3
1529500032540,1,0,1,0,3
1529500032640,1,0,1,0,3
1529500032740,1,0,1,0,3
1529500032840,1,0,1,0,3
1529500032940,1,0,1,0,3
1529500033040,1,0,1,0,3
1529500033141,1,0,1,0,3
1529500033241,1,0,1,0,3
1529500033341,1,0,1,0,3
1529500033441,1,0,1,0,3
1529500033541,1,0,1,0,3
1529500033641,1,0,1,0,3
1529500033742,1,0,1,0,3
1529500033842,1,0,1,0,3
1529500033942,1,0,1,0,3
1529500034042,1,0,1,0,3
1529500034142,1,0,1,0,3
1529500034242,1,0,1,0,3
1529500034343,1,0,1,0,3
1529500034443,1,0,1,0,3
1529500034543,1,0,1,0,3
1529500034643,1,0,1,0,3
1529500034743,1,0,1,0,3
1529500034843,1,0,1,0,3
1529500034944,1,0,1,0,3
1529500035044,1,0,1,0,3
1529500035144,1,0,1,0,3
1529500035244,1,0,1,0,3
1529500035344,1,0,1,0,3
1529500035445,1,0,1,0,3
1529500035545,1,0,1,0,3
1529500035645,1,0,1,0,3
1529500035745,1,0,1,0,3
1529500035845,1,0,1,0,3
1529500035945,1,0,1,0,3
1529500036046,1,0,1,0,3
1529500036146,1,0,1,0,3
1529500036246,1,0,1,0,3
1529500036346,1,0,1,0,3
1529500036446,1,0,1,0,3
1529500036546,1,0,1,0,3
1529500036647,1,0,1,0,3
1529500036747,1,0,1,0,3
1529500036847,1,0,1,0,3
1529500036947,1,0,1,0,3
1529500037048,1,0,1,0,3
1529500037148,1,0,1,0,3
1529500037249,1,0,1,0,3
1529500037349,1,0,1,0,3
1529500037449,1,0,1,0,3
1529500037549,1,0,1,0,3
1529500037649,1,0,1,0,3
1529500037749,1,0,1,0,3
1529500037850,1,0,1,0,3
1529500037950,1,0,1,0,3
1529500038050,1,0,1,0,3
1529500038150,1,0,1,0,3
1529500038250,1,0,1,0,3
1529500038350,1,0,1,0,3
1529500038451,1,0,1,0,3
1529500038551,1,0,1,0,3
1529500038651,1,0,1,0,3
1529500038751,1,0,1,0,3
1529500038851,1,0,1,0,3
1529500038952,1,0,1,0,3
1529500039052,1,0,1,0,3
1529500039152,1,0,1,0,3
1529500039252,1,0,1,0,3
1529500039352,1,0,1,0,3
1529500039452,1,0,1,0,3
1529500039553,1,0,1,0,3
1529500039653,1,0,1,0,3
1529500039753,1,0,1,0,3
1529500039853,1,0,1,0,3
1529500039953,1,0,1,0,3
1529500040053,1,0,1,0,3
1529500040154,1,0,1,0,3
1529500040254,1,0,1,0,3
1529500040354,1,0,1,0,3
1529500040454,1,0,1,0,3
1529500040554,1,0,1,0,3
1529500040654,1,0,1,0,3
1529500040755,1,0,1,0,3
1529500040855,1,0,1,0,3
1529500040955,1,0,1,0,3
1529500041055,1,0,1,0,3
1529500041155,1,0,1,0,3
1529500041256,1,0,1,0,3
1529500041357,1,0,1,0,3
1529500041458,1,0,1,0,3
1529500041558,1,0,1,0,3
1529500041658,1,0,1,0,3
1529500041758,1,0,1,0,3
1529500041859,1,0,1,0,3
1529500041959,1,0,1,0,3
1529500042059,1,0,1,0,3
1529500042159,1,0,1,0,3
1529500042259,1,0,1,0,3
1529500042359,1,0,1,0,3
1529500042460,1,0,1,0,3
1529500042560,1,0,1,0,3
1529500042660,1,0,1,0,3
1529500042760,1,0,1,0,3
1529500042860,1,0,1,0,3
1529500042960,1,0,1,0,3
1529500043061,1,0,1,0,3
1529500043161,1,0,1,0,3
1529500043261,1,0,1,0,3
1529500043361,1,0,1,0,3
1529500043461,1,0,1,0,3
1529500043561,1,0,1,0,3
1529500043662,1,0,1,0,3
1529500043762,1,0,1,0,3
1529500043862,1,0,1,0,3
1529500043962,1,0,1,0,3
1529500044062,1,0,1,0,3
1529500044162,1,0,1,0,3
1529500044263,1,0,1,0,3
1529500044363,1,0,1,0,3
1529500044463,1,0,1,0,3
1529500044563,1,0,1,0,3
1529500044663,1,0,1,0,3
1529500044763,1,0,1,0,3
1529500044864,1,0,1,0,3
1529500044964,1,0,1,0,3
1529500045064,1,0,1,0,3
1529500045164,1,0,1,0,3
1529500045264,1,0,1,0,3
1529500045364,1,0,1,0,3
1529500045465,1,0,1,0,3
1529500045565,1,0,1,0,3
1529500045665,1,0,1,0,3
1529500045765,1,0,1,0,3
1529500045865,1,0,1,0,3
1529500045966,1,0,1,0,3
1529500046066,1,0,1,0,3
1529500046166,1,0,1,0,3
1529500046266,1,0,1,0,3
1529500046366,1,0,1,0,3
1529500046466,1,0,1,0,3
1529500046567,1,0,1,0,3
1529500046667,1,0,1,0,3
1529500046767,1,0,1,0,3
1529500046867,1,0,1,0,3
1529500046967,1,0,1,0,3
1529500047068,1,0,1,0,3
1529500047168,1,0,1,0,3
1529500047268,1,0,1,0,3
1529500047368,1,0,1,0,3
1529500047468,1,0,1,0,3
1529500047568,1,0,1,0,3
1529500047669,1,0,1,0,3
1529500047769,1,0,1,0,3
1529500047869,1,0,1,0,3
1529500047969,1,0,1,0,3
1529500048069,1,0,1,0,3
1529500048169,1,0,1,0,3
1529500048270,1,0,1,0,3
1529500048370,1,0,1,0,3
1529500048470,1,0,1,0,3
1529500048570,1,0,1,0,3
1529500048670,1,0,1,0,3
1529500048770,1,0,1,0,3
1529500048871,1,0,1,0,3
1529500048971,1,0,1,0,3
1529500049071,1,0,1,0,3
1529500049171,1,0,1,0,3
1529500049271,1,0,1,0,3
1529500049371,1,0,1,0,3
1529500049472,1,0,1,0,3
1529500049572,1,0,1,0,3
1529500049672,1,0,1,0,3
1529500049772,1,0,1,0,3
1529500049872,1,0,1,0,3
1529500049972,1,0,1,0,3
1529500050073,1,0,1,0,3
1529500050173,1,0,1,0,3
1529500050273,1,0,1,0,3
1529500050373,1,0,1,0,3
1529500050473,1,0,1,0,3
1529500050574,1,0,1,0,3
1529500050674,1,0,1,0,3
1529500050774,1,0,1,0,3
1529500050874,1,0,1,0,3
1529500050974,1,0,1,0,3
1529500051074,1,0,1,0,3
1529500051175,1,0,1,0,3
1529500051275,1,0,1,0,3
1529500051375,1,0,1,0,3
1529500051475,1,0,1,0,3
1529500051575,1,0,1,0,3
1529500051675,1,0,1,0,3
1529500051776,1,0,1,0,3
1529500051876,1,0,1,0,3
1529500051976,1,0,1,0,3
1529500052076,1,0,1,0,3
1529500052176,1,0,1,0,3
1529500052276,1,0,1,0,3
1529500052377,1,0,1,0,3
1529500052477,1,0,1,0,3
1529500052577,1,0,1,0,3
