Timestamp,CupState,CurrentWeight,EmergencyStop,FanOn,HeatCoverClosed,HeaterOn,HeatingTimePercent,PotAvailable,Produce,ScaleCupDown,ScaleCupUp,SwitchToPot,TrackSwitchAtCup,TrackSwitchAtPot,TurnScaleCup
1516355920018,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355920120,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355920229,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355920339,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355920450,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355920558,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355920667,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355920776,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355920886,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355920995,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355921105,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355921214,1,0.0615779310464859,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355921323,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355921433,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355921542,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355921651,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355921761,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355921870,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355921980,1,0.0615779310464859,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355922089,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355922198,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355922308,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355922417,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355922527,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355922636,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355922745,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355922855,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355922964,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355923073,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355923183,1,0.0615779310464859,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355923292,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355923402,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355923511,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355923620,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355923730,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355923839,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355923949,1,0.0615779310464859,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355924058,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355924167,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355924277,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355924386,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355924495,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355924605,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355924714,1,0.0615779310464859,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355924824,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355924933,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355925042,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355925152,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355925261,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355925370,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355925480,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355925589,1,0.0615779310464859,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355925699,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355925808,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355925917,1,0.0615779310464859,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355926027,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355926136,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355926246,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355926355,1,0.0615779310464859,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355926464,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355926574,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355926683,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355926792,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355926902,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355927011,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355927121,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355927230,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355927339,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355927449,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355927558,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355927668,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355927777,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355927886,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355927996,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355928105,1,0.184733793139458,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355928214,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355928324,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355928433,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355928543,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355928652,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355928761,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355928871,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355928980,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355929090,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355929199,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355929308,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355929418,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355929527,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355929636,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355929746,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355929855,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355929965,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355930074,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355930183,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355930293,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355930402,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355930512,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355930621,1,0.0615779310464859,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355930730,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355930840,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355930950,1,0.123155862092972,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355931058,1,0.0923668965697289,1,0,1,0,0,1,0,0,1,0,1,0,0
1516355931168,1,0.153944835066795,1,0,1,0,0,1,0,0,1,0,1,0,0
