Timestamp,FunnelBlocked.I_xSignal,StorageSiloFull.I_xSignal,StorageSiloMinFull.I_xSignal,Aspirator.O_xOn,MuscleTrigger.O_xOn,MuscleTrigger.xOn
1515157696228,0,1,1,0,0,0
1515157696329,0,1,1,0,0,0
1515157696429,0,1,1,0,0,0
1515157696529,0,1,1,0,0,0
1515157696629,0,1,1,0,0,0
1515157696729,0,1,1,0,0,0
1515157696829,0,1,1,0,0,0
1515157696929,0,1,1,0,0,0
1515157697030,0,1,1,0,0,0
1515157697130,0,1,1,0,0,0
1515157697230,0,1,1,0,0,0
1515157697330,0,1,1,0,0,0
1515157697430,0,1,1,0,0,0
1515157697530,0,1,1,0,0,0
1515157697631,0,1,1,0,0,0
1515157697731,0,1,1,0,0,0
1515157697831,0,1,1,0,0,0
1515157697931,0,1,1,0,0,0
1515157698031,0,1,1,0,0,0
1515157698131,0,1,1,0,0,0
1515157698231,0,1,1,0,0,0
1515157698331,0,1,1,0,0,0
1515157698432,0,1,1,0,0,0
1515157698532,0,1,1,0,0,0
1515157698632,0,1,1,0,0,0
1515157698732,0,1,1,0,0,0
1515157698832,0,1,1,0,0,0
1515157698932,0,1,1,0,0,0
1515157699032,0,1,1,0,0,0
1515157699133,0,1,1,0,0,0
1515157699233,0,1,1,0,0,0
1515157699333,0,1,1,0,0,0
1515157699433,0,1,1,0,0,0
1515157699533,0,1,1,0,0,0
1515157699633,0,1,1,0,0,0
1515157699733,0,1,1,0,0,0
1515157699834,0,1,1,0,0,0
1515157699934,0,1,1,0,0,0
1515157700034,0,1,1,0,0,0
1515157700134,0,1,1,0,0,0
1515157700234,0,1,1,0,0,0
1515157700334,0,1,1,0,0,0
1515157700434,0,1,1,0,0,0
1515157700535,0,1,1,0,0,0
1515157700635,0,1,1,0,0,0
1515157700735,0,1,1,0,0,0
1515157700835,0,1,1,0,0,0
1515157700935,0,1,1,0,0,0
1515157701035,0,1,1,0,0,0
1515157701135,0,1,1,0,0,0
1515157701235,0,1,1,0,0,0
1515157701336,0,1,1,0,0,0
1515157701436,0,1,1,0,0,0
1515157701536,0,1,1,0,0,0
1515157701636,0,1,1,0,0,0
1515157701736,0,1,1,0,0,0
1515157701836,0,1,1,0,0,0
1515157701936,0,1,1,0,0,0
1515157702036,0,1,1,0,0,0
1515157702137,0,1,1,0,0,0
1515157702237,0,1,1,0,0,0
1515157702337,0,1,1,0,0,0
1515157702437,0,1,1,0,0,0
1515157702537,0,1,1,0,0,0
1515157702637,0,1,1,0,0,0
1515157702737,0,1,1,0,0,0
1515157702837,0,1,1,0,0,0
1515157702938,0,1,1,0,0,0
1515157703038,0,1,1,0,0,0
1515157703138,0,1,1,0,0,0
1515157703238,0,1,1,0,0,0
1515157703338,0,1,1,0,0,0
1515157703438,0,1,1,0,0,0
1515157703538,0,1,1,0,0,0
1515157703638,0,1,1,0,0,0
1515157703738,0,1,1,0,0,0
1515157703839,0,1,1,0,0,0
1515157703939,0,1,1,0,0,0
1515157704039,0,1,1,0,0,0
1515157704139,0,1,1,0,0,0
1515157704239,0,1,1,0,0,0
1515157704339,0,1,1,0,0,0
1515157704439,0,1,1,0,0,0
1515157704540,0,1,1,0,0,0
1515157704640,0,1,1,0,0,0
1515157704740,0,1,1,0,0,0
1515157704840,0,1,1,0,0,0
1515157704940,0,1,1,0,0,0
1515157705040,0,1,1,0,0,0
1515157705140,0,1,1,0,0,0
1515157705241,0,1,1,0,0,0
1515157705341,0,1,1,0,0,0
1515157705441,0,1,1,0,0,0
1515157705541,0,1,1,0,0,0
1515157705641,0,1,1,0,0,0
1515157705741,0,1,1,0,0,0
1515157705841,0,1,1,0,0,0
1515157705941,0,1,1,0,0,0
1515157706042,0,1,1,0,0,0
1515157706142,0,1,1,0,0,0
1515157706242,0,1,1,0,0,0
1515157706342,0,1,1,0,0,0
1515157706442,0,1,1,0,0,0
1515157706542,0,1,1,0,0,0
1515157706642,0,1,1,0,0,0
1515157706743,0,1,1,0,0,0
1515157706843,0,1,1,0,0,0
1515157706943,0,1,1,0,0,0
1515157707043,0,1,1,0,0,0
1515157707143,0,1,1,0,0,0
1515157707243,0,1,1,0,0,0
1515157707343,0,1,1,0,0,0
1515157707443,0,1,1,0,0,0
1515157707543,0,1,1,0,0,0
1515157707644,0,1,1,0,0,0
1515157707744,0,1,1,0,0,0
1515157707844,0,1,1,0,0,0
1515157707944,0,1,1,0,0,0
1515157708044,0,1,1,0,0,0
1515157708144,0,1,1,0,0,0
1515157708244,0,1,1,0,0,0
1515157708344,0,1,1,0,0,0
1515157708445,0,1,1,0,0,0
1515157708545,0,1,1,0,0,0
1515157708645,0,1,1,0,0,0
1515157708745,0,1,1,0,0,0
1515157708845,0,1,1,0,0,0
1515157708945,0,1,1,0,0,0
1515157709045,0,1,1,0,0,0
1515157709146,0,1,1,0,0,0
1515157709246,0,1,1,0,0,0
1515157709346,0,1,1,0,0,0
1515157709446,0,1,1,0,0,0
1515157709546,0,1,1,0,0,0
1515157709646,0,1,1,0,0,0
1515157709746,0,1,1,0,0,0
1515157709846,0,1,1,0,0,0
1515157709947,0,1,1,0,0,0
1515157710047,0,1,1,0,0,0
1515157710147,0,1,1,0,0,0
1515157710247,0,1,1,0,0,0
1515157710347,0,1,1,0,0,0
1515157710447,0,1,1,0,0,0
1515157710547,0,1,1,0,0,0
1515157710648,0,1,1,0,0,0
1515157710748,0,1,1,0,0,0
1515157710848,0,1,1,0,0,0
1515157710948,0,1,1,0,0,0
1515157711048,0,1,1,0,0,0
1515157711148,0,1,1,0,0,0
1515157711248,0,1,1,0,0,0
1515157711349,0,1,1,0,0,0
1515157711449,0,1,1,0,0,0
1515157711549,0,1,1,0,0,0
1515157711649,0,1,1,0,0,0
1515157711749,0,1,1,0,0,0
1515157711849,0,1,1,0,0,0
1515157711949,0,1,1,0,0,0
1515157712050,0,1,1,0,0,0
1515157712150,0,1,1,0,0,0
1515157712250,0,1,1,0,0,0
1515157712350,0,1,1,0,0,0
1515157712450,0,1,1,0,0,0
1515157712550,0,1,1,0,0,0
1515157712650,0,1,1,0,0,0
1515157712750,0,1,1,0,0,0
1515157712851,0,1,1,0,0,0
1515157712951,0,1,1,0,0,0
1515157713051,0,1,1,0,0,0
1515157713151,0,1,1,0,0,0
1515157713251,0,1,1,0,0,0
1515157713351,0,1,1,0,0,0
1515157713451,0,1,1,0,0,0
1515157713552,0,1,1,0,0,0
1515157713652,0,1,1,0,0,0
1515157713752,0,1,1,0,0,0
1515157713852,0,1,1,0,0,0
1515157713952,0,1,1,0,0,0
1515157714052,0,1,1,0,0,0
1515157714152,0,1,1,0,0,0
1515157714253,0,1,1,0,0,0
1515157714353,0,1,1,0,0,0
1515157714453,0,1,1,0,0,0
1515157714553,0,1,1,0,0,0
1515157714653,0,1,1,0,0,0
1515157714753,0,1,1,0,0,0
1515157714853,0,1,1,0,0,0
1515157714953,0,1,1,0,0,0
1515157715054,0,1,1,0,0,0
1515157715154,0,1,1,0,0,0
1515157715254,0,1,1,0,0,0
1515157715354,0,1,1,0,0,0
1515157715454,0,1,1,0,0,0
1515157715554,0,1,1,0,0,0
1515157715654,0,1,1,0,0,0
1515157715755,0,1,1,0,0,0
1515157715855,0,1,1,0,0,0
1515157715955,0,1,1,0,0,0
1515157716055,0,1,1,0,0,0
1515157716155,0,1,1,0,0,0
1515157716255,0,1,1,0,0,0
1515157716355,0,1,1,0,0,0
1515157716455,0,1,1,0,0,0
1515157716556,0,1,1,0,0,0
1515157716656,0,1,1,0,0,0
1515157716756,0,1,1,0,0,0
1515157716856,0,1,1,0,0,0
1515157716956,0,1,1,0,0,0
1515157717056,0,1,1,0,0,0
1515157717156,0,1,1,0,0,0
1515157717256,0,1,1,0,0,0
1515157717357,0,1,1,0,0,0
1515157717457,0,1,1,0,0,0
1515157717557,0,1,1,0,0,0
1515157717657,0,1,1,0,0,0
1515157717757,0,1,1,0,0,0
1515157717857,0,1,1,0,0,0
1515157717957,0,1,1,0,0,0
1515157718057,0,1,1,0,0,0
1515157718158,0,1,1,0,0,0
1515157718258,0,1,1,0,0,0
1515157718358,0,1,1,0,0,0
1515157718458,0,1,1,0,0,0
1515157718558,0,1,1,0,0,0
1515157718658,0,1,1,0,0,0
1515157718758,0,1,1,0,0,0
1515157718858,0,1,1,0,0,0
1515157718959,0,1,1,0,0,0
1515157719059,0,1,1,0,0,0
1515157719159,0,1,1,0,0,0
1515157719259,0,1,1,0,0,0
1515157719359,0,1,1,0,0,0
1515157719459,0,1,1,0,0,0
1515157719559,0,1,1,0,0,0
1515157719660,0,1,1,0,0,0
1515157719760,0,1,1,0,0,0
1515157719860,0,1,1,0,0,0
1515157719960,0,1,1,0,0,0
1515157720060,0,1,1,0,0,0
1515157720160,0,1,1,0,0,0
1515157720260,0,1,1,0,0,0
1515157720360,0,1,1,0,0,0
1515157720461,0,1,1,0,0,0
1515157720561,0,1,1,0,0,0
1515157720661,0,1,1,0,0,0
1515157720761,0,1,1,0,0,0
1515157720861,0,1,1,0,0,0
1515157720961,0,1,1,0,0,0
1515157721061,0,1,1,0,0,0
1515157721162,0,1,1,0,0,0
1515157721262,0,1,1,0,0,0
1515157721362,0,1,1,0,0,0
1515157721462,0,1,1,0,0,0
1515157721562,0,1,1,0,0,0
1515157721662,0,1,1,0,0,0
1515157721762,0,1,1,0,0,0
1515157721862,0,1,1,0,0,0
1515157721963,0,1,1,0,0,0
1515157722063,0,1,1,0,0,0
1515157722163,0,1,1,0,0,0
1515157722263,0,1,1,0,0,0
1515157722363,0,1,1,0,0,0
1515157722463,0,1,1,0,0,0
1515157722563,0,1,1,0,0,0
1515157722663,0,1,1,0,0,0
1515157722764,0,1,1,0,0,0
1515157722864,0,1,1,0,0,0
1515157722964,0,1,1,0,0,0
1515157723064,0,1,1,0,0,0
1515157723164,0,1,1,0,0,0
1515157723264,0,1,1,0,0,0
1515157723364,0,1,1,0,0,0
1515157723464,0,1,1,0,0,0
1515157723565,0,1,1,0,0,0
1515157723665,0,1,1,0,0,0
1515157723765,0,1,1,0,0,0
1515157723865,0,1,1,0,0,0
1515157723965,0,1,1,0,0,0
1515157724065,0,1,1,0,0,0
1515157724165,0,1,1,0,0,0
1515157724265,0,1,1,0,0,0
1515157724366,0,1,1,0,0,0
1515157724466,0,1,1,0,0,0
1515157724566,0,1,1,0,0,0
1515157724666,0,1,1,0,0,0
1515157724766,0,1,1,0,0,0
1515157724866,0,1,1,0,0,0
1515157724966,0,1,1,0,0,0
1515157725067,0,1,1,0,0,0
1515157725167,0,1,1,0,0,0
1515157725267,0,1,1,0,0,0
1515157725367,0,1,1,0,0,0
1515157725467,0,1,1,0,0,0
1515157725567,0,1,1,0,0,0
1515157725667,0,1,1,0,0,0
1515157725767,0,1,1,0,0,0
